,,,,Voting,Voting,Voting,Voting,Voting,,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Advanced,Advanced,-additional
# Tm,Player,Age,Tm,Pts Won,Pts Max,Share,1st Tm,2nd Tm,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,-9999
1st,VJ Edgecombe,20,PHI,200,200,1.000,100,0,75,35.0,16.0,5.6,4.2,1.4,0.5,.438,.354,.818,4.4,.081,edgecvj01
1st,Cooper Flagg,19,DAL,200,200,1.000,100,0,70,33.5,21.0,6.7,4.5,1.2,0.9,.468,.295,.827,3.8,.078,flaggco01
1st,Kon Knueppel,20,CHO,200,200,1.000,100,0,81,31.5,18.5,5.3,3.4,0.7,0.2,.475,.425,.863,8.0,.151,knuepko01
1st,Dylan Harper,19,SAS,193,200,0.965,93,7,69,22.6,11.8,3.4,3.9,0.8,0.3,.505,.343,.756,4.2,.130,harpedy01
1st,Cedric Coward,22,MEM,125,200,0.625,29,67,62,25.8,13.6,5.9,2.8,0.6,0.4,.471,.338,.843,2.5,.076,cowarce01
2nd,Maxime Raynaud,22,SAC,110,200,0.550,26,58,74,26.5,12.5,7.5,1.4,0.5,0.5,.571,.324,.786,3.6,.088,raynama01
2nd,Derik Queen,21,NOP,110,200,0.550,16,78,81,25.0,11.7,7.1,3.7,1.0,0.9,.473,.261,.795,2.7,.063,queende01
2nd,Jeremiah Fears,19,NOP,109,200,0.545,17,75,82,25.8,14.3,3.7,3.4,1.2,0.4,.434,.330,.789,0.6,.015,fearsje01
2nd,Ace Bailey,19,UTA,107,200,0.535,11,85,72,27.6,13.8,4.2,1.8,0.8,0.7,.443,.344,.750,-0.1,-0.001,baileac01
2nd,Collin Murray-Boyles,20,TOR,66,200,0.330,8,50,57,21.9,8.5,5.0,1.9,0.9,0.9,.579,.340,.657,4.0,.154,murraco01
ORV,Ryan Kalkbrenner,24,CHO,43,200,0.215,0,43,69,21.4,7.6,5.5,0.8,0.5,1.5,.753,.000,.716,5.7,.185,kalkbry01
ORV,Tre Johnson,19,WAS,19,200,0.095,0,19,60,24.1,12.2,2.8,2.0,0.6,0.3,.419,.358,.874,-0.7,-0.024,johnstr03
ORV,Hugo González,19,BOS,5,200,0.025,0,5,74,14.6,3.9,3.3,0.5,0.6,0.3,.476,.362,.500,2.2,.099,gonzahu01
ORV,Will Riley,19,WAS,4,200,0.020,0,4,74,22.1,10.3,2.9,2.0,0.7,0.1,.439,.316,.800,0.4,.012,rileywi01
ORV,Carter Bryant,20,SAS,3,200,0.015,0,3,71,11.5,4.2,2.5,0.7,0.2,0.3,.408,.335,.714,1.3,.076,bryanca01
ORV,Egor Dёmin,19,BRK,2,200,0.010,0,2,52,25.2,10.3,3.2,3.3,0.8,0.3,.399,.385,.831,0.9,.032,demineg01
ORV,Sion James,23,CHO,2,200,0.010,0,2,82,22.5,5.4,3.5,2.0,0.6,0.2,.371,.352,.837,3.1,.080,jamessi01
ORV,Kasparas Jakučionis,19,MIA,1,200,0.005,0,1,53,17.8,6.2,2.6,2.6,0.6,0.1,.429,.423,.879,2.3,.114,jakucka01
ORV,Ryan Nembhard,22,DAL,1,200,0.005,0,1,60,19.5,6.6,2.2,5.3,0.4,0.0,.415,.356,.806,0.8,.031,nembhry01
