,,,,,Voting,Voting,Voting,Voting,Voting,Voting,,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Advanced,Advanced,-additional
# Tm,Pos,Player,Age,Tm,Pts Won,Pts Max,Share,1st Tm,2nd Tm,3rd Tm,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,-9999
1T,F,Giannis Antetokounmpo,30,MIL,500,500,1,100,0,0,67,34.2,30.4,11.9,6.5,0.9,1.2,.601,.222,.617,11.5,.241,antetgi01
1T,G,Shai Gilgeous-Alexander,26,OKC,500,500,1,100,0,0,76,34.2,32.7,5.0,6.4,1.7,1.0,.519,.375,.898,16.7,.309,gilgesh01
1T,C,Nikola Jokić,29,DEN,500,500,1,100,0,0,70,36.7,29.6,12.7,10.2,1.8,0.6,.576,.417,.800,16.4,.307,jokicni01
1T,F,Jayson Tatum,26,BOS,500,500,1,100,0,0,72,36.4,26.8,8.7,6.0,1.1,0.5,.452,.343,.814,9.5,.174,tatumja01
1T,G,Donovan Mitchell,28,CLE,414,500,0.828,61,35,4,71,31.4,24.0,4.5,5.0,1.3,0.2,.443,.368,.823,7.6,.163,mitchdo01
2T,G,Anthony Edwards,23,MIN,318,500,0.636,11,87,2,79,36.3,27.6,5.7,4.5,1.2,0.6,.447,.395,.837,8.4,.140,edwaran01
2T,F,LeBron James,40,LAL,289,500,0.578,17,61,21,70,34.9,24.4,7.8,8.2,1.0,0.6,.513,.376,.782,7.7,.152,jamesle01
2T,G,Stephen Curry,36,GSW,244,500,0.488,2,68,30,70,32.2,24.5,4.4,6.0,1.1,0.4,.448,.397,.933,7.9,.168,curryst01
2T,C,Evan Mobley,23,CLE,238,500,0.476,1,69,26,71,30.5,18.5,9.3,3.2,0.9,1.6,.557,.370,.725,9.0,.200,mobleev01
2T,G,Jalen Brunson,28,NYK,232,500,0.464,2,62,36,65,35.4,26.0,2.9,7.3,0.9,0.1,.488,.383,.821,8.3,.172,brunsja01
3T,G,Cade Cunningham,23,DET,223,500,0.446,6,50,43,70,35.0,26.1,6.1,9.1,1.0,0.8,.469,.356,.846,5.9,.115,cunnica01
3T,C,Karl-Anthony Towns,29,NYK,172,500,0.344,0,40,52,72,35.0,24.4,12.8,3.1,1.0,0.7,.526,.420,.829,10.1,.193,townska01
3T,G,Tyrese Haliburton,24,IND,79,500,0.158,0,11,46,73,33.6,18.6,3.5,9.2,1.4,0.7,.473,.388,.851,10.4,.204,halibty01
3T,F,Jalen Williams,23,OKC,73,500,0.146,0,4,61,69,32.4,21.6,5.3,5.1,1.6,0.7,.484,.365,.789,7.8,.168,willija06
3T,G,James Harden,35,LAC,68,500,0.136,0,4,56,79,35.3,22.8,5.8,8.7,1.5,0.7,.410,.352,.874,8.3,.143,hardeja01
ORV,C,Alperen Şengün,22,HOU,58,500,0.116,0,6,40,76,31.5,19.1,10.3,4.9,1.1,0.8,.496,.233,.692,8.3,.166,sengual01
ORV,C,Jaren Jackson Jr.,25,MEM,55,500,0.11,0,1,52,74,29.8,22.2,5.6,2.0,1.2,1.5,.488,.375,.781,6.4,.139,jacksja02
ORV,C,Ivica Zubac,27,LAC,15,500,0.03,0,0,15,80,32.8,16.8,12.6,2.7,0.7,1.1,.628,,.661,11.7,.215,zubaciv01
ORV,G,Darius Garland,25,CLE,6,500,0.012,0,1,3,75,30.7,20.6,2.9,6.7,1.2,0.1,.472,.401,.878,8.1,.169,garlada01
ORV,C,Domantas Sabonis,28,SAC,4,500,0.008,0,0,4,70,34.7,19.1,13.9,6.0,0.7,0.4,.590,.417,.754,10.1,.199,sabondo01
ORV,F,Pascal Siakam,30,IND,4,500,0.008,0,0,4,78,32.7,20.2,6.9,3.4,0.9,0.5,.519,.389,.734,7.5,.142,siakapa01
ORV,C,Bam Adebayo,27,MIA,3,500,0.006,0,1,0,78,34.3,18.1,9.6,4.3,1.3,0.7,.485,.357,.765,7.5,.135,adebaba01
ORV,G,Trae Young,26,ATL,3,500,0.006,0,0,3,76,36.0,24.2,3.1,11.6,1.2,0.2,.411,.340,.875,5.7,.100,youngtr01
ORV,G,Devin Booker,28,PHO,2,500,0.004,0,0,2,75,37.3,25.6,4.1,7.1,0.9,0.2,.461,.332,.894,6.4,.111,bookede01
